,year,violent,cauc,population,income,density,state,law
1125,1997,218.7,72.64451,1.815588,12040.57,0.0753763,West Virginia,yes
1126,1998,248.6,72.74287,1.811688,12351.37,0.0752143,West Virginia,yes
1127,1999,350.6,72.94131,1.806928,12510.76,0.0750167,West Virginia,yes
1128,1977,131.5,69.68519,4.626517,12193.55,0.0849463,Wisconsin,no
1129,1978,132.2,69.62133,4.646109,12670.18,0.0853061,Wisconsin,no
1130,1979,166.1,69.51105,4.682812,12733.53,0.08598,Wisconsin,no
1131,1980,182.6,69.65793,4.712045,12284.65,0.0865771,Wisconsin,no
1132,1981,187.9,69.44913,4.726336,12062.58,0.0868397,Wisconsin,no
1133,1982,190.5,69.07502,4.728876,11962.94,0.0868863,Wisconsin,no
1134,1983,190.9,68.67786,4.721445,12046,0.0867498,Wisconsin,no
1135,1984,196.5,68.32092,4.735576,12641.54,0.0870094,Wisconsin,no
1136,1985,206.9,67.96238,4.747753,12820.47,0.0872332,Wisconsin,no
1137,1986,257.9,67.5285,4.755625,13207.77,0.0873778,Wisconsin,no
1138,1987,249.9,67.20159,4.77793,13468.97,0.0877876,Wisconsin,no
1139,1988,214.4,67.0311,4.822402,13641.24,0.0886047,Wisconsin,no
1140,1989,222.6,66.7228,4.856575,13891.1,0.0892326,Wisconsin,no
1141,1990,264.7,68.60641,4.902265,13837.92,0.0902579,Wisconsin,no
1142,1991,277,68.70872,4.952675,13677.74,0.091186,Wisconsin,no
1143,1992,275.7,68.76257,5.004636,14109.12,0.0921427,Wisconsin,no
1144,1993,264.4,68.84564,5.055318,14220.27,0.0930758,Wisconsin,no
1145,1994,270.5,68.88604,5.095504,14581.73,0.0938157,Wisconsin,no
1146,1995,281.1,69.01579,5.137004,14762.74,0.0945797,Wisconsin,no
1147,1996,252.7,69.16254,5.173828,14956.79,0.0952577,Wisconsin,no
1148,1997,270.6,69.24231,5.200235,15395.21,0.0957439,Wisconsin,no
1149,1998,249,69.32509,5.222124,16024.7,0.0961469,Wisconsin,no
1150,1999,245.9,69.429,5.250446,16367.26,0.0966684,Wisconsin,no
1151,1977,240.9,71.94287,0.413353,13401.89,0.0042525,Wyoming,no
1152,1978,280.4,71.91188,0.432877,14338.75,0.0044533,Wyoming,no
1153,1979,350.9,71.78605,0.454378,14504.78,0.0046745,Wyoming,no
1154,1980,392.6,72.13893,0.474185,14209.38,0.0048891,Wyoming,no
1155,1981,430.1,72.01286,0.491715,14115.38,0.0050698,Wyoming,no
1156,1982,304.2,71.92876,0.506408,13675.03,0.0052213,Wyoming,no
1157,1983,237.2,71.27304,0.510329,12723,0.0052617,Wyoming,no
1158,1984,242.1,70.9073,0.504893,12939.79,0.0052057,Wyoming,no
1159,1985,256.8,70.75819,0.499692,13188.09,0.005152,Wyoming,no
1160,1986,293.1,70.4869,0.495624,12729.64,0.0051101,Wyoming,no
1161,1987,283.1,70.05034,0.476967,12448.14,0.0049177,Wyoming,no
1162,1988,314,70.03685,0.465098,12603.06,0.0047954,Wyoming,no
1163,1989,258.3,70.21884,0.458377,13155.55,0.0047261,Wyoming,no
1164,1990,301.4,72.02543,0.453401,13712.95,0.0046692,Wyoming,no
1165,1991,310.2,72.33991,0.457739,13791.78,0.0047139,Wyoming,no
1166,1992,319.5,72.73,0.463491,13880.5,0.0047731,Wyoming,no
1167,1993,286.2,73.03836,0.469033,13977.74,0.0048302,Wyoming,no
1168,1994,272.5,73.39078,0.474982,14083.1,0.0048914,Wyoming,no
1169,1995,254.2,73.71621,0.478447,14070.16,0.0049271,Wyoming,yes
1170,1996,249.7,73.85796,0.480085,14032.23,0.004944,Wyoming,yes
1171,1997,255.2,73.92731,0.480031,14790.98,0.0049434,Wyoming,yes
1172,1998,247.6,73.98515,0.480045,15225.51,0.0049436,Wyoming,yes
1173,1999,232.3,74.04952,0.479602,15765.07,0.004939,Wyoming,yes
